X,Y
u0,34133
4-,14624
.6,12851
1Q,13832
:A,16484
HF,20699
Yd,266189
C{,200258
ve,353192
FW,20150
'u,116240
] ,26885
N/,22430
y|,362261
-<,12569
#_,9674
MH,22205
e\,29465
sF,33599
\&,26603
/Y,13256
dY,29156
yW,35450
:!,16388
R`,23777
=~,182267
@K,18314
K$,21497
yu,362240
M!,22088
Hq,215228
U6,24551
uO,34226
bS,28538
A-,18524
?a,18080
=v,182243
"E,",19721
0e,143192
>W,17750
I/,20930
lW,31550
fc,29786
l%,31400
1),13712
zP,35729
+_,12074
WL,25217
Jr,221231
c2,28739
4s,155234
sY,33656
j1,30836
m[,31862
th,347201
R=,23672
B:,18863
e-,29324
p2,32639
fD,29693
l5,31448
z:,35663
%h,110201
U!,24488
n{,329258
Ha,20780
/[,13262
 <,8669
e<,29369
t=,33872
"""p",101225
Wr,260231
Er,206231
d!,28988
we,356192
`u,287240
"y""",35291
.U,12944
e0,29333
#o,104222
<%,17000
cL,28817
g-,29924
na,32180
CW,19250
s1,33536
*L,11717
Vw,257246
l%,31400
8_,15974
Pa,23180
7{,164258
ii,314204
mq,326228
"X""",25391
A>,18575
lc,31586
ea,29480
8=,15872
Ya,25880
Nl,233213
7R,15635
':,10763
/),13112
Xb,25583
x^,35171
!B,8987
"*""",11591
K=,21572
JU,21344
F&,20003
Uu,254240
2$,13997
oj,332207
7O,15626
qp,338225
$v,107243
C*,19115
+v,128243
zb,35783
0+,13418
'[,10862
V1,24836
X3,25442
Bn,197219
Z;,26066
Ro,245222
h+,30218
f$,29597
@t,191237
<M,17120
d:,29063
[`,26477
s/,33530
c),28712
q3,32942
<v,179243
{H,36005
F&,20003
fc,29786
/K,13214
h4,30245
Jm,221216
$',9806
Wj,260207
PF,23099
:2,16439
mO,31826
~x,377249
Mt,230237
;H,16805
Wa,25280
1x,146249
y{,362258
",F",12299
mT,31841
(D,11093
b/,28430
KW,21650
*7,11654
kS,31238
7h,164201
PU,23144
k9,31160
}=,36572
Iy,218252
c7,28754
",l",131213
!e,98192
=.,17327
qn,338219
s.,33527
C`,19277
 J,8711
'j,116207
Ep,206225
Fe,209192
GZ,20459
6y,161252
{D,35993
49,14660
#P,9629
$|,107261
T_,24374
Ug,254198
dF,29099
$6,9851
uj,350207
Np,233225
J6,21251
lb,31583
a],28268
{N,36023
#I,9608
w<,34769
i ,30485
/<,13169
 V,8747
cZ,28859
ts,347234
L~,227267
5d,158189
3#,14294
Kn,224219
&O,10526
7*,15515
pM,32720
H:,20663
3x,152249
yw,362246
@!,18188
:I,16508
K|,224261
B0,18833
8),15812
*3,11642
*o,125222
PT,23141
",G",12302
31,14336
Bo,197222
K^,21671
:<,16469
(d,119189
HI,20708
(7,11054
V0,24833
Ch,200201
0(,13409
(.,11027
iA,30584
DA,19484
?2,17939
f{,305258
R},245264
s',33506
-c,12686
mp,326225
"U""",24491
Wc,25286
>*,17615
sE,33596
-j,134207
N@,22481
s9,33560
'],10868
*V,11747
yC,35390
It,218237
 F,8699
}$,36497
F$,19997
dQ,29132
0p,143225
n+,32018
-L,12617
";""",16691
;g,176198
vE,34496
q6,32951
H+,20618
%o,110222
/5,13148
s!,33488
E.,19727
`U,27944
SQ,24032
N[,22562
l5,31448
7v,164243
",:",12263
_5,27548
KD,21593
UZ,24659
5&,14903
~$,36797
 W,8750
[r,272231
j%,30800
5&,14903
[7,26354
%x,110249
`*,27815
^[,27362
h@,30281
7?,15578
bf,293195
k@,31181
4Q,14732
UQ,24632
j^,30971
ZM,26120
[z,272255
}6,36551
8],15968
&!,10388
m{,326258
0f,143195
85,15848
~@,36881
QH,23405
P^,23171
J!,21188
}1,36536
!j,98207
4m,155216
"z""",35591
fd,305189
tj,347207
]U,27044
uw,350246
1E,13796
^K,27314
}>,36575
q{,338258
V$,24797
6-,15224
Fi,209204
pg,335198
<x,179249
%g,110198
\*,26615
@V,18347
8\,15965
l],31568
P^,23171
p?,32678
t\,33965
w~,356267
CK,19214
3!,14288
 {,95258
zf,365195
"""o",101222
9#,16094
R(,23609
6R,15335
oh,332201
Jy,221252
rB,33287
Bt,197237
fI,29708
%B,10187
g9,29960
G6,20351
n^,32171
e8,29357
a.,28127
\#,26594
64,15245
]K,27014
4T,14741
]',26906
X',25406
wy,356252
$H,9905
*},125264
Fo,209222
1(,13709
#e,104192
dh,299201
6:,15263
GE,20396
xV,35147
RZ,23759
h:,30263
J8,21257
m/,31730
T[,24362
y?,35378
"k""",31091
>g,185198
\4,26645
BL,18917
*D,11693
Hn,215219
7*,15515
T2,24239
#&,9503
_',27506
1t,146237
S3,23942
nP,32129
AA,18584
r0,33233
!n,98219
N8,22457
D.,19427
nQ,32132
?I,18008
D(,19409
`s,287234
<',17006
==,17372
#v,104243
Vu,257240
;I,16808
'\,10865
dX,29153
fs,305234
"2,",14021
Jy,221252
vm,353216
k$,31097
Jp,221225
Sa,24080
fD,29693
Oi,236204
Pa,23180
@E,18296
?I,18008
8{,167258
O?,22778
"e,",29321
~E,36896
 [,8762
__,27674
?/,17930
 <,8669
~W,36950
fv,305243
Bo,197222
2O,14126
Eq,206228
dK,29114
Qc,23486
M;,22166
|h,371201
)7,11354
kM,31220
3W,14450
WP,25229
+ ,11885
IY,21056
mV,31847
a3,28142
be,293192
pD,32693
\],26768
4q,155228
j2,30839
1`,13877
~!,36788
GD,20393
uO,34226
q+,32918
36,14351
"4""",14591
<@,17081
#k,104210
(h,119201
6c,15386
12,13739
JN,21323
>(,17609
iG,30602
p>,32675
Vi,257204
[%,26300
//,13130
x=,35072
Wb,25283
bl,293213
h2,30239
G5,20348
=A,17384
#Q,9632
K4,21545
h`,30377
qf,338195
}T,36641
rh,341201
2{,149258
9],16268
DM,19520
~_,36974
$e,107192
",Z",12359
4o,155222
k5,31148
00,13433
S',23906
4G,14702
?a,18080
1I,13808
8G,15902
|8,36257
Bv,197243
Z+,26018
"p""",32591
yy,362252
*%,11600
Gp,212225
J;,21266
hR,30335
yL,35417
Vn,257219
Mr,230231
gR,30035
)7,11354
/n,140219
wj,356207
H),20612
[B,26387
"P""",22991
+/,11930
+[,12062
cz,296255
L6,21851
tS,33938
JJ,21311
p^,32771
%o,110222
V9,24860
Oh,236201
$*,9815
4B,14687
<%,17000
0p,143225
m5,31748
"<""",16991
J.,21227
 o,95222
6n,161219
ej,302207
4z,155255
:x,173249
g!,29888
)f,122195
{+,35918
}L,36617
:f,173195
C.,19127
)v,122243
LU,21944
@T,18341
l[,31562
+Z,12059
(r,119231
$X,9953
)(,11309
S{,248258
PZ,23159
2K,14114
u8,34157
>=,17672
yE,35396
uy,350252
"f""",29591
Gw,212246
X{,263258
0l,143213
U),24512
:.,16427
br,293231
|6,36251
.V,12947
V8,24857
qN,33023
>5,17648
yM,35420
u(,34109
"7,",15521
':,10763
m*,31715
rJ,33311
Hd,215189
:f,173195
z~,365267
Z-,26024
PK,23114
tp,347225
EZ,19859
g$,29897
|V,36347
$f,107195
On,236219
1q,146228
{f,368195
Zt,269237
va,34580
_M,27620
[M,26420
@B,18287
E[,19862
'7,10754
XQ,25532
JV,21347
l=,31472
)D,11393
U3,24542
k0,31133
`p,287225
`f,287195
t],33968
=m,182216
!D,8993
VZ,24959
1q,146228
-_,12674
}y,374252
Gj,212207
X<,25469
cU,28844
zU,35744
(n,119219
=D,17393
",%",12200
9[,16262
(G,11102
^J,27311
'x,116249
Gg,212198
kX,31253
;a,16880
8O,15926
+>,11975
EZ,19859
;M,16820
5.,14927
Uz,254255
+U,12044
98,16157
*W,11750
y|,362261
(o,119222
[7,26354
k=,31172
-Q,12632
"J""",21191
iH,30605
W9,25160
?|,188261
Wn,260219
>s,185234
*0,11633
~1,36836
qS,33038
 N,8723
wm,356216
mW,31850
+^,12071
*x,125249
V:,24863
l@,31481
:|,173261
oz,332255
@\,18365
a$,28097
F9,20060
\L,26717
+#,11894
((,11009
f>,29675
]5,26948
KI,21608
xf,359195
Xx,263249
-',12506
{K,36014
",7",12254
_6,27551
"""@",9281
x;,35066
PR,23135
.U,12944
C|,200261
V},257264
Z#,25994
5#,14894
Qh,242201
_-,27524
wf,356195
@Q,18332
>-,17624
9b,16283
+@,11981
g[,30062
/$,13097
=k,182210
;;,16766
]u,278240
k:,31163
F-,20024
ku,320240
|R,36335
OZ,22859
8A,15884
k~,320267
`;,27866
Rw,245246
"w""",34691
1S,13838
X ,25385
gu,308240
u9,34160
J\,21365
PI,23108
VE,24896
oQ,32432
EU,19844
iX,30653
%b,10283
wj,356207
`E,27896
z<,35669
(v,119243
3\,14465
zx,365249
u4,34145
tf,347195
~o,377222
?`,18077
Z%,26000
v(,34409
~',36806
Ze,269192
`A,27884
KS,21638
t`,33977
G0,20333
#c,9686
.X,12953
Xy,263252
`s,287234
eg,302198
qp,338225
\c,26786
GA,20384
U5,24548
SH,24005
)\,11465
aq,290228
8$,15797
w:,34763
/+,13118
8s,167234
 I,8708
W2,25139
`7,27854
\q,275228
1g,146198
\c,26786
vn,353219
2:,14063
kc,31286
`d,287189
2=,14072
)d,122189
|&,36203
n\,32165
}o,374222
eS,29438
1',13706
O-,22724
nN,32123
;E,16796
y4,35345
[f,272195
f),29612
ep,302225
cC,28790
OR,22835
c~,296267
Xq,263228
dK,29114
T},251264
cZ,28859
nN,32123
>_,17774
g$,29897
$0,9833
xe,359192
?n,188219
)6,11351
?T,18041
U|,254261
<J,17111
=r,182231
P6,23051
rk,341210
6;,15266
kA,31184
`t,287237
4G,14702
-w,134246
:y,173252
~K,36914
.=,12872
A[,18662
Q\,23465
!x,98249
iz,314255
PS,23138
_F,27599
@',18206
7Q,15632
+g,128198
e ,29285
QC,23390
0[,13562
JJ,21311
rR,33335
by,293252
Pc,23186
RQ,23732
8 ,15785
;@,16781
FA,20084
~_,36974
GW,20450
E.,19727
=l,182213
8K,15914
C=,19172
3],14468
Lo,227222
p?,32678
`L,27917
`X,27953
%^,10271
/-,13124
;*,16715
=A,17384
{U,36044
LM,21920
G>,20375
U+,24518
Ae,194192
~),36812
H;,20666
N<,22469
xY,35156
0S,13538
=w,182246
 #,8594
Lp,227225
Av,194243
Q+,23318
e),29312
;(,16709
$!,9788
-=,12572
EU,19844
'E,10796
o&,32303
I8,20957
Ye,266192
!f,98195
(k,119210
s1,33536
yS,35438
Y7,25754
.j,137207
>o,185222
m(,31709
L9,21860
eS,29438
^t,281237
]p,278225
ia,30680
54,14945
1B,13787
:@,16481
%Y,10256
6T,15341
wV,34847
Y6,25751
kx,320249
es,302234
0a,13580
JZ,21359
2],14168
c2,28739
d*,29015
5M,15020
!6,8951
+*,11915
TS,24338
3x,152249
73,15542
S ,23885
/P,13229
BB,18887
e],29468
{+,35918
]+,26918
w=,34772
$t,107237
5a,15080
f*,29615
5o,158222
f<,29669
64,15245
S),23912
Yh,266201
I^,21071
et,302237
G),20312
)A,11384
]u,278240
mr,326231
;h,176201
kL,31217
:#,16394
su,344240
2u,149240
Qg,242198
=V,17447
Tj,251207
\y,275252
r>,33275
dm,299216
8U,15944
eB,29387
N#,22394
"<""",16991
-l,134213
d0,29033
Zb,26183
EX,19853
wg,356198
ez,302255
T',24206
cU,28844
$M,9920
hy,311252
Zp,269225
Pf,239195
DD,19493
%K,10214
Ap,194225
P2,23039
mZ,31859
<G,17102
b[,28562
mV,31847
NP,22529
*o,125222
(I,11108
`@,27881
3y,152252
"5,",14921
^O,27326
HC,20690
r?,33278
sr,344231
T',24206
yi,362204
zx,365249
mZ,31859
=:,17363
*J,11711
Hx,215249
;d,176189
Vx,257249
Qx,242249
7Z,15659
o],32468
#},104264
3Y,14456
3&,14303
PY,23156
FW,20150
]R,27035
&3,10442
{l,368213
S/,23930
lZ,31559
TZ,24359
xp,359225
dD,29093
^/,27230
AP,18629
ne,329192
v:,34463
Yg,266198
tv,347243
F),20012
]J,27011
J2,21239
m@,31781
7#,15494
EQ,19832
wC,34790
_`,27677
t8,33857
m7,31754
]D,26993
8(,15809
=z,182255
1*,13715
e ,29285
"""<",9269
k0,31133
~a,36980
#w,104246
U2,24539
=2,17339
+u,128240
Z-,26024
]?,26978
]b,27083
@@,18281
Rr,245231
jc,30986
@j,191207
mc,31886
49,14660
Gk,212210
v!,34388
",T",12341
xh,359201
u^,34271
ck,296210
+l,128213
pc,32786
2c,14186
UK,24614
!P,9029
\>,26675
c*,28715
4$,14597
c;,28766
&:,10463
;g,176198
X4,25445
kN,31223
:h,173201
&d,113189
'0,10733
!$,8897
A>,18575
kt,320237
>C,17690
VT,24941
<N,17123
!*,8915
/O,13226
]F,26999
s$,33497
zm,365216
Ew,206246
U>,24575
pp,335225
Jv,221243
}r,374231
c5,28748
:*,16415
Bs,197234
L/,21830
;c,16886
pw,335246
Pj,239207
GT,20441
Z/,26030
^s,281234
av,290243
7`,15677
W#,25094
dn,299219
Gc,20486
(o,119222
xY,35156
DF,19499
 s,95234
PC,23090
Gw,212246
#B,9587
R9,23660
"""p",101225
M*,22115
*n,125219
h9,30260
h;,30266
t-,33824
!),8912
j>,30875
2`,14177
/T,13241
v?,34478
uu,350240
Wm,260216
jT,30941
"""K",9314
;W,16850
=j,182207
`B,27887
XH,25505
ch,296201
"\""",26591
Xa,25580
@J,18311
]*,26915
?o,188222
V-,24824
Fy,209252
Du,203240
nY,32156
@j,191207
5i,158204
#I,9608
3W,14450
@},191264
PX,23153
fb,29783
C!,19088
vf,353195
Jc,21386
~&,36803
"y,",35321
z$,35597
u},350264
&W,10550
-W,12650
ha,30380
v8,34457
1#,13694
ob,32483
%.,10127
)p,122225
#+,9518
GF,20399
H\,20765
!A,8984
vU,34544
z5,35648
Ys,266234
:\,16565
w=,34772
sI,33608
:u,173240
#',9506
j),30812
]=,26972
Sa,24080
@Y,18356
c{,296258
F',20006
zZ,35759
mM,31820
yO,35426
SF,23999
\X,26753
&U,10544
o@,32381
%d,110189
N+,22418
?N,18023
{/,35930
",;",12266
uz,350255
ys,362234
"""6",9251
>?,17678
V),24812
mZ,31859
=Q,17432
_@,27581
53,14942
@_,18374
l`,31577
tC,33890
|s,371234
?;,17966
J_,21374
u_,34274
zC,35690
:F,16499
M~,230267
d;,29066
p ,32585
/D,13193
yt,362237
",7",12254
36,14351
gw,308246
ZW,26150
MX,22253
z7,35654
qB,32987
1W,13850
M1,22136
f@,29681
/g,140198
Mt,230237
2#,13994
;z,176255
zG,35702
Md,230189
\/,26630
1+,13718
(1,11036
F;,20066
UR,24635
xB,35087
>(,17609
 Q,8732
W',25106
=1,17336
|-,36224
",f",131195
.~,137267
k ,31085
?[,18062
Y@,25781
3U,14444
^R,27335
jS,30938
4>,14675
17,13754
^U,27344
qj,338207
gC,29990
rU,33344
'k,116210
g;,29966
Z ,25985
_;,27566
i[,30662
'M,10820
Ko,224222
X/,25430
I6,20951
x@,35081
UW,24650
Pm,239216
Cq,200228
8l,167213
hM,30320
5-,14924
(H,11105
gn,308219
<~,179267
~r,377231
OW,22850
Cb,19283
L8,21857
8t,167237
+S,12038
C1,19136
hQ,30332
eA,29384
w~,356267
vX,34553
nA,32084
2G,14102
3\,14465
mX,31853
 [,8762
ov,332243
Ny,233252
0&,13403
SD,23993
{k,368210
{H,36005
w^,34871
IK,21014
;X,16853
6_,15374
th,347201
8G,15902
"<""",16991
t8,33857
RY,23756
FW,20150
d3,29042
v[,34562
(Q,11132
U[,24662
K5,21548
XJ,25511
V.,24827
Hc,20786
:y,173252
"""g",101198
<i,179204
hH,30305
]),26912
jN,30923
|[,36362
P+,23018
pW,32750
DD,19493
6(,15209
ib,30683
;r,176231
6a,15380
u1,34136
V7,24854
1%,13700
sB,33587
AN,18623
eC,29390
.0,12833
`B,27887
:U,16544
'C,10790
k',31106
Yt,266237
Mo,230222
A[,18662
.~,137267
A:,18563
Pb,23183
JM,21320
",u",131240
7S,15638
&P,10529
 },95264
m6,31751
wb,34883
In,218219
hB,30287
&C,10490
#L,9617
 p,95225
 ',8606
g=,29972
VH,24905
kl,320213
K1,21536
*P,11729
SP,24029
hL,30317
:l,173213
V!,24788
an,290219
7G,15602
6[,15362
-0,12533
_&,27503
z-,35624
;m,176216
%3,10142
"_""",27491
+',11906
{F,35999
nT,32141
-s,134234
 Z,8759
"""c",9386
vZ,34559
 K,8714
Af,194195
}-,36524
H=,20672
[G,26402
1.,13727
Np,233225
EX,19853
p<,32669
+M,12020
qZ,33059
9^,16271
a*,28115
51,14936
0X,13553
ts,347234
Gk,212210
&\,10565
Ah,194201
>h,185201
lL,31517
bY,28556
.9,12860
/g,140198
_R,27635
gy,308252
J{,221258
~g,377198
El,206213
v6,34451
Gw,212246
"K""",21491
KF,21599
wC,34790
<2,17039
f?,29678
;^,16871
Hq,215228
'T,10841
i^,30671
sY,33656
n|,329261
Tu,251240
G=,20372
Vr,257231
44,14645
|+,36218
KH,21605
bL,28517
v&,34403
a_,28274
wj,356207
KB,21587
zM,35720
3+,14318
]?,26978
f},305264
an,290219
Uh,254201
mq,326228
tc,33986
AY,18656
k>,31175
= ,17285
WG,25202
5>,14975
<{,179258
[!,26288
dd,299189
rq,341228
[1,26336
oF,32399
zR,35735
kF,31199
Wx,260249
m1,31736
d|,299261
BN,18923
uQ,34232
O6,22751
B~,197267
_},284264
^c,27386
x/,35030
1n,146219
(;,11066
.d,137189
UQ,24632
oD,32393
-n,134219
g(,29909
<r,179231
I(,20909
/U,13244
rJ,33311
jK,30914
]j,278207
a6,28151
v&,34403
Jp,221225
FZ,20159
`X,27953
3f,152195
%q,110228
4},155264
r@,33281
4D,14693
}r,374231
Kx,224249
#l,104213
_+,27518
-L,12617
%Y,10256
_O,27626
p',32606
>],17768
Mu,230240
>D,17693
*`,11777
E},206264
+F,11999
Iw,218246
3n,152219
7H,15605
oV,32447
9r,170231
@:,18263
q@,32981
L_,21974
vS,34538
PE,23096
X&,25403
:D,16493
IQ,21032
U4,24545
os,332234
$1,9836
dk,299210
DK,19514
I*,20915
%$,10097
'j,116207
Q ,23285
)o,122222
9g,170198
J4,21245
]5,26948
(7,11054
(D,11093
NX,22553
D5,19448
Li,227204
jL,30917
kr,320231
KF,21599
@ ,18185
rP,33329
 B,8687
B`,18977
I!,20888
2y,149252
@u,191240
q&,32903
'z,116255
}X,36653
S:,23963
 y,95252
lq,323228
-s,134234
ox,332249
Gg,212198
P7,23054
1 ,13685
LH,21905
_$,27497
0V,13547
R8,23657
vL,34517
v},353264
~&,36803
w6,34751
vy,353252
Xi,263204
"9""",16091
x2,35039
22,14039
]\,27065
qi,338204
e>,29375
;E,16796
Ls,227234
zR,35735
bD,28493
+$,11897
T},251264
8:,15863
~+,36818
]-,26924
"*,",11621
 !,8588
jS,30938
/(,13109
kd,320189
Aq,194228
Q ,23285
91,16136
7>,15575
R9,23660
1[,13862
>V,17747
LE,21896
ON,22823
in,314219
:H,16505
iF,30599
pF,32699
]d,278189
K(,21509
y=,35372
:L,16517
Xl,263213
Gv,212243
rz,341255
~',36806
(r,119231
c9,28760
V),24812
\\,26765
f(,29609
PR,23135
PJ,23111
5a,15080
Pf,239195
*/,11630
Re,245192
",J",12311
|6,36251
zQ,35732
Nq,233228
l{,323258
=F,17399
Xo,263222
S{,248258
>#,17594
f`,29777
mZ,31859
#7,9554
CL,19217
j^,30971
q+,32918
Zi,269204
e&,29303
tf,347195
B',18806
]@,26981
Y],25868
$g,107198
e~,302267
.$,12797
Q>,23375
aH,28205
K4,21545
Zu,269240
jh,317201
W/,25130
} ,36485
G3,20342
f5,29648
 ',8606
_8,27557
QK,23414
-m,134216
M:,22163
CG,19202
N&,22403
tc,33986
^],27368
g4,29945
eL,29417
+t,128237
rW,33350
ye,362192
u.,34127
!_,9074
Sj,248207
'f,116195
+A,11984
]R,27035
--,12524
&O,10526
<F,17099
9&,16103
c_,28874
Tf,251195
Fu,209240
Pf,239195
`p,287225
#F,9599
-Z,12659
Z{,269258
@a,18380
Vw,257246
76,15551
zo,365222
!a,9080
oQ,32432
ne,329192
a/,28130
)v,122243
';,10766
E-,19724
5W,15050
@u,191240
ff,305195
'i,116204
Ul,254213
~m,377216
{B,35987
#>,9575
]<,26969
6[,15362
$=,9872
8I,15908
 J,8711
}?,36578
YL,25817
Mo,230222
22,14039
U<,24569
zQ,35732
2P,14129
WQ,25232
O},236264
2y,149252
"""C",9290
>O,17726
bc,28586
kR,31235
U),24512
XK,25514
gU,30044
Cc,19286
%8,10157
2},149264
]#,26894
I-,20924
*w,125246
Wh,260201
<G,17102
x#,34994
Ga,20480
<],17168
z^,35771
A`,18677
"i""",30491
b6,28451
>],17768
Fp,209225
?{,188258
Lt,227237
Ih,218201
.A,12884
Fn,209219
1V,13847
$_,9974
)i,122204
lG,31502
'D,10793
E ,19685
oA,32384
na,32180
w-,34724
q7,32954
pa,32780
)D,11393
.L,12917
f[,29762
7=,15572
ka,31280
i9,30560
_:,27563
b3,28442
;j,176207
'`,10877
E.,19727
A7,18554
W<,25169
9A,16184
%>,10175
<#,16994
5P,15029
sM,33620
b|,293261
Jt,221237
"%,",10121
t&,33803
=m,182216
;x,176249
^s,281234
E<,19769
C4,19145
I:,20963
+a,12080
OI,22808
x%,35000
el,302213
Kn,224219
?h,188201
..,12827
$),9812
9I,16208
2?,14078
JJ,21311
0Z,13559
x=,35072
{},368264
%t,110237
j.,30827
=O,17426
Z^,26171
Lo,227222
kY,31256
mU,31844
"H,",20621
nQ,32132
C7,19154
R2,23639
kd,320189
Ui,254204
I`,21077
<t,179237
;^,16871
l2,31439
P\,23165
!k,98210
84,15845
 T,8741
EF,19799
.^,12971
HK,20714
FQ,20132
-Y,12656
 c,8786
uQ,34232
 Q,8732
A+,18518
1e,146192
>%,17600
}R,36635
Ql,242213
W;,25166
K},224264
vB,34487
3O,14426
w>,34775
nr,329231
v%,34400
g[,30062
WY,25256
ux,350249
&V,10547
4a,14780
|9,36260
R),23612
#],9668
g3,29942
Gh,212201
2Z,14159
Yh,266201
M:,22163
9 ,16085
*},125264
\p,275225
f\,29765
4N,14723
{(,35909
)b,11483
_&,27503
Dp,203225
/C,13190
GH,20405
7(,15509
Hn,215219
sk,344210
~2,36839
a+,28118
_\,27665
%F,10199
Cx,200249
{q,368228
08,13457
>`,17777
#u,104240
*T,11741
8\,15965
1?,13778
%J,10211
=l,182213
^;,27266
[\,26465
lD,31493
r ,33185
rr,341231
Yx,266249
\`,26777
IK,21014
^d,281189
}n,374219
TA,24284
R5,23648
0l,143213
0W,13550
NE,22496
sM,33620
hM,30320
{~,368267
~b,36983
r1,33236
_[,27662
xD,35093
d0,29033
xJ,35111
DA,19484
">,",17621
3g,152198
>Q,17732
hR,30335
5B,14987
+8,11957
*^,11771
7X,15653
T4,24245
8l,167213
/h,140201
'o,116222
y ,35285
QZ,23459
@4,18245
wi,356204
C.,19127
~ ,36785
1?,13778
Z_,26174
_;,27566
9c,16286
E7,19754
5A,14984
uf,350195
wG,34802
 1,8636
Vd,257189
9[,16262
KK,21614
^@,27281
w&,34703
3m,152216
?P,18029
P$,22997
*J,11711
c{,296258
5Q,15032
\H,26705
]%,26900
d],29168
Rf,245195
{9,35960
.Y,12956
kC,31190
x(,35009
iK,30614
S7,23954
q%,32900
3E,14396
)5,11348
x',35006
r~,341267
fm,305216
6c,15386
RG,23702
)|,122261
"J""",21191
&[,10562
""" ",9185
Mv,230243
MI,22208
A9,18560
^},281264
X`,25577
"""<",9269
l<,31469
O3,22742
3@,14381
O_,22874
@H,18305
5/,14930
a:,28163
QW,23450
KW,21650
V/,24830
ln,323219
B),18812
lL,31517
X$,25397
Q>,23375
wj,356207
iH,30605
LN,21923
\:,26663
^K,27314
iE,30596
HZ,20759
Aa,18680
G=,20372
j/,30830
&],10568
wf,356195
ad,290189
n],32168
rn,341219
!P,9029
}M,36620
J{,221258
P@,23081
`3,27842
\q,275228
z[,35762
|P,36329
\d,275189
2Q,14132
fu,305240
xj,359207
(i,119204
9U,16244
tI,33908
ge,308192
Ni,233204
d&,29003
~Z,36959
I;,20966
N!,22388
4@,14681
?B,17987
>e,185192
oM,32420
)Z,11459
%z,110255
4J,14711
RA,23684
f3,29642
\m,275216
_V,27647
1y,146252
+%,11900
=f,182195
)o,122222
4A,14684
f#,29594
3n,152219
OR,22835
Cr,200231
ow,332246
9k,170210
"!,",8921
Q},242264
n~,329267
#U,9644
XN,25523
X8,25457
~G,36902
E',19706
/C,13190
$H,9905
O],22868
`O,27926
7m,164216
|),36212
0j,143207
e8,29357
+e,128192
Yb,25883
Tm,251216
tN,33923
b},293264
cn,296219
"j,",30821
e`,29477
.m,137216
B%,18800
1q,146228
cg,296198
In,218219
`Z,27959
}+,36518
Pd,239189
05,13448
q2,32939
;U,16844
7u,164240
20,14033
E',19706
]X,27053
g[,30062
8t,167237
Fx,209249
Wa,25280
1g,146198
",j",131207
+7,11954
5S,15038
`c,27986
E.,19727
EO,19826
?%,17900
+(,11909
)X,11453
6y,161252
o|,332261
Kd,224189
KU,21644
mf,326195
&b,10583
ia,30680
np,329225
z;,35666
qD,32993
[N,26423
~0,36833
e/,29330
J3,21242
3-,14324
S@,23981
rQ,33332
?},188264
y2,35339
|0,36233
Re,245192
#y,104252
q+,32918
VD,24893
WC,25190
 f,95195
a-,28124
Y7,25754
kl,320213
",h",131201
@z,191255
R|,245261
I2,20939
VB,24887
4|,155261
xn,359219
6|,161261
x1,35036
)=,11372
:(,16409
o%,32300
&{,113258
]i,278204
[i,272204
!A,8984
$7,9854
Ta,24380
M|,230261
GS,20438
5e,158192
0c,13586
=r,182231
 w,95246
(?,11078
A5,18548
:},173264
Yq,266228
8e,167192
Vr,257231
ih,314201
o/,32330
Xs,263234
Aj,194207
D~,203267
w`,34877
$},107264
E^,19871
={,182258
n!,31988
YK,25814
#y,104252
#`,9677
